海淀区不可移动文物名录 &nbsp;&nbsp;&nbsp;
截止 2023年4月 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
海淀区共有不可移动文物 328处，其中全国重点文物保护单位22处，北京市文物保护单位29处，海淀区文物保护单位101处，文物普查登记项目176处。
序号,名称,级别,文物类型,发文单位,管理使用单位,位置,所属街镇,开放情况
300,福胜寺遗址,文物普查登记项目,古遗址,苏家坨镇,苏家坨镇,苏家坨镇台头村,苏家坨镇,未开放
301,朝阳观音洞,文物普查登记项目,古建筑,北京林业大学实验林场,北京林业大学实验林场,苏家坨镇鹫峰国家森林公园内,苏家坨镇,景区、博物馆、酒店对外开放
302,秀峰寺和尚塔,文物普查登记项目,古建筑,北京林业大学实验林场,北京林业大学实验林场,苏家坨镇鹫峰公园日中友谊林内,苏家坨镇,景区、博物馆、酒店对外开放
303,北安河五街 177 号院老民居（王宅),文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇北安河村,苏家坨镇,未开放
304,北安河四街 145 号院老民居（杨宅）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇北安河村,苏家坨镇,未开放
305,北安河五街 205 号院老民居（张宅）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇北安河村,苏家坨镇,未开放
306,北安河四街 6 号院老民居（孙宅）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇北安河村,苏家坨镇,未开放
307,周家巷水井,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇周家巷村,苏家坨镇,自然开放
308,大工 “园寝重地，禁止樵採”碑,文物普查登记项目,近现代重要史迹及代表性建筑,海淀区文物保护中心（博物馆）,海淀区文物保护中心（博物馆）,苏家坨镇大工村,苏家坨镇,未开放
309,大觉寺南阳台山石刻,文物普查登记项目,石窟寺及石刻,苏家坨镇,苏家坨镇,苏家坨镇徐各庄村,苏家坨镇,自然开放
310,大工西峰寺摩崖石刻及遗址,文物普查登记项目,石窟寺及石刻,苏家坨镇,苏家坨镇,苏家坨镇大工村,苏家坨镇,自然开放
311,周家巷大西院四合院（张宅）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇周家巷村,苏家坨镇,未开放
312,南安河北水井,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇南安河村,苏家坨镇,自然开放
313,徐各庄西观庵（观音庵）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇徐各庄村,苏家坨镇,未开放
314,南安河 253 号院(张家大院),文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇南安河村 253 号,苏家坨镇,未开放
315,北安河四眼井（东四眼井、南四眼井、西四眼井、北四眼井）,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇北安河村,苏家坨镇,自然开放
316,紫竹院双林寺塔遗址,文物普查登记项目,古遗址,紫竹院公园,紫竹院公园,中关村南大街 35 号,紫竹院街道,景区、博物馆、酒店对外开放
317,清河车站,文物普查登记项目,近现代重要史迹及代表性建筑,中国铁路北京局集团有限公司,中国铁路北京局集团有限公司,安宁庄西路,清河街道,未开放
318,大工村元代摩崖石刻,文物普查登记项目,石窟寺及石刻,苏家坨镇,苏家坨镇,苏家坨镇大工村西北,苏家坨镇,自然开放
319,“凤窝”摩崖石刻,文物普查登记项目,石窟寺及石刻,苏家坨镇,苏家坨镇,苏家坨镇寨口村南侧,苏家坨镇,自然开放
320,莲花寺南和尚塔群,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇莲花寺东南,苏家坨镇,自然开放
321,大工村古桥,文物普查登记项目,古建筑,北京绿海能环保有限责任公司,北京绿海能环保有限责任公司,苏家坨镇大工村北沟,苏家坨镇,未开放
322,尚膳监太监张公墓,文物普查登记项目,古墓葬,凤凰岭公园,凤凰岭公园,苏家坨镇车耳营村西北,苏家坨镇,景区、博物馆、酒店对外开放
323,万安山法华寺遗址,文物普查登记项目,古遗址,北京市西山林场,北京市西山林场,香山街道金山陵园北,香山街道,自然开放
324,中国铁道科学研究院科研专用铁路,文物普查登记项目,近现代重要史迹及代表性建筑,中国铁道科学研究院集团有限公司,中国铁道科学研究院集团有限公司,北下关街道大柳树路 2号至学院南路四道口路口,北下关街道,未开放
325,大护国保安寺遗址,文物普查登记项目,古遗址,苏家坨镇,苏家坨镇,苏家坨镇管家岭村,苏家坨镇,自然开放
326,管家岭大墙圈,文物普查登记项目,古建筑,苏家坨镇,苏家坨镇,苏家坨镇管家岭村,苏家坨镇,自然开放
327,青龙桥后营 3号院古建筑,文物普查登记项目,古建筑,海淀镇,海淀镇,海淀镇青龙桥后营村 3号,海淀镇,未开放
328,海军机关大院近代建筑,文物普查登记项目,近现代重要史迹及代表性建筑,海后直属保障大队服务保障中心,海后直属保障大队服务保障中心,海淀区西三环中路 19号海军机关大院东区25号楼,羊坊店街道,未开放
