parcel_name,parcel_code,land_use_code,far,building_height_m,building_density_pct,green_ratio_pct,land_area_sqm,floor_area_sqm,notice_no,doc_no,notice_date,corridor,source_url,extraction_notes,transaction_price,winner,transaction_date
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0043,,2.5,45,35,,40327.09,100818,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0049,,0.8,12,30,30,8400,6720,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0031,,3,45,40,25,6900,20700,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0040,,1.6,18,,,2500,4000,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0046,,0.8,12,30,40,3900,3120,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0061,,2.5,45,35,30,30367.3,75918,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0043、0049地块二类居住及基础教育用地,HD00-0403-0050,,2.5,45,35,30,23642.66,59107,京土储挂（海）[2019]047号,京规自（海）供审函〔2019〕0002号,2019-12-20,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D047%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 116037/floor 270383，中置信，待人工核验）; 公告级面积（48727.09）与函总计（116037.05）不一致，宗地级归属以挂牌公告宗地范围为准；PDF=3-规划条件.pdf,,,2020-02-14
北京市海淀区四季青镇中坞重点村资金平衡用地北地块R2二类居住用地,,,,,,,44507.257,66760,京土储挂（海）[2019]045号,京规自（海）供审函〔2019〕0005号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D045%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 指标未能解析（PaddleOCR 未匹配指标表行或行不满足合理性过滤）; 公告级指标来自0、挂牌文件（京土整储挂（海）[2019]045号）.pdf 文本层,,,2020-01-20
北京市海淀区“海淀北部地区整体开发”永丰产业基地（新）HD00-0403-013、122地块R2二类居住用地、A33基础教育用地,,,,,,,65039.11,132382.131,京土储挂（海）[2019]044号,京规自（海）供审函〔2019〕0003号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D044%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 65039/floor 132382，中置信，待人工核验）; 公告级指标来自0、挂牌文件（京土整储挂（海）[2019]044号）.pdf 文本层,,,2020-01-20
北京市海淀区“海淀北部地区整体开发”永丰产业基地（新）HD00-0403-013、122地块R2二类居住用地、A33基础教育用地,HD00-0403-013,,2.1,45,,30,62039.11,130282,京土储挂（海）[2019]044号,京规自（海）供审函〔2019〕0003号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D044%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 65039/floor 132382，中置信，待人工核验）；PDF=2、多规合一审核意见的函.pdf,,,2020-01-20
北京市海淀区“海淀北部地区整体开发”永丰产业基地（新）HD00-0403-013、122地块R2二类居住用地、A33基础教育用地,HD00-0403-122,,0.7,12,,30,3000,2100,京土储挂（海）[2019]044号,京规自（海）供审函〔2019〕0003号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D044%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; PaddleOCR 指标表行解析（合计校验通过 land 65039/floor 132382，中置信，待人工核验）；PDF=2、多规合一审核意见的函.pdf,,,2020-01-20
北京市海淀区四季青镇中坞重点村资金平衡用地南地块R2二类居住用地,,,,,,,51339.153,77009,京土储挂（海）[2019]046号,京规自（海）供审函〔2019〕0005号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D046%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 指标未能解析（PaddleOCR 未匹配指标表行或行不满足合理性过滤）; 公告级指标来自0、挂牌文件（京土整储挂（海）[2019]046号）.pdf 文本层,,,2020-01-20
北京市海淀区西三旗1811-L04地块B4综合性商业金融服务业用地,,,,,,,22035.93,61700.604,京土储挂（海）[2019]015号,,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D015%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 宗地级行合计与函总计不符（land 1311 vs 23563 / floor 1311 vs 4791），行解析弃用，PDF 入库备查; 公告级指标来自0.挂牌文件.pdf 文本层,,,2019-07-04
"北京市海淀区""海淀北部地区整体开发""苏家坨镇HD00-0303-6031、6032、6033地块（中关村环保科技示范园）F1住宅混合公建用地、A33基础教育用地",,,,,,,34507.511,94282.533,京土储挂（海）[2019]008号,,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D%20008%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 指标未能解析（PaddleOCR 未匹配指标表行或行不满足合理性过滤）; 公告级指标来自1.挂牌文件.pdf 文本层,,,2019-05-28
"北京市海淀区""海淀北部地区整体开发""西北旺镇HD00-0402-0102地块（永丰产业基地）B1商业用地",,,,,,,32158.94,96476.82,京土储挂（海）[2019]005号,,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8C%82%EF%BC%88%E6%B5%B7%EF%BC%89%5B2019%5D%20005%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 指标未能解析（PaddleOCR 未匹配指标表行或行不满足合理性过滤）; 公告级指标来自0.挂牌文件.pdf 文本层,,,2019-05-28
北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地,,,,,,,239378.179,302600,京土储挂（海）[2018]058号,,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2018%5D058%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 函总计行未解析到，宗地级行按单行合理性过滤后保留 1 行（中置信，待人工核验）; 公告级指标来自1.招标文件.pdf 文本层,,,2019-01-24
北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地,HD00-0700-0003,,,,24,,59170.521,20000,京土储挂（海）[2018]058号,,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2018%5D058%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 函总计行未解析到，宗地级行按单行合理性过滤后保留 1 行（中置信，待人工核验）；PDF=3.规划条件.pdf,,,2019-01-24
北京市海淀区西三旗建材城中路东侧1814-630等地块R2二类居住用地、A4体育用地、A334托幼用地,,,,,,,21216.458,31629,京土储挂（海）[2018]053号,2018规土（海）条供字0003号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2018%5D053%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 函总计行未解析到，宗地级行按单行合理性过滤后保留 1 行（中置信，待人工核验）; 公告级指标来自1.招标文件.pdf 文本层,,,2019-01-24
北京市海淀区西三旗建材城中路东侧1814-630等地块R2二类居住用地、A4体育用地、A334托幼用地,1814-631,,0.8,,,,2800,2240,京土储挂（海）[2018]053号,2018规土（海）条供字0003号,,unknown,zkdncmsUploadFile/tdscjywj/%E4%BA%AC%E5%9C%9F%E6%95%B4%E5%82%A8%E6%8B%9B%EF%BC%88%E6%B5%B7%EF%BC%89%5B2018%5D053%E5%8F%B7.zip,无文本层（扫描件），PaddleOCR 指标表解析; 函总计行未解析到，宗地级行按单行合理性过滤后保留 1 行（中置信，待人工核验）；PDF=3.规划条件.pdf,,,2019-01-24
