序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
242,中石油昆仑网电,海淀区龙芯产业园地上停车场公共充电站,社会公用,海淀区北清路156号龙芯创业园,6,3,五环至六环,公共停车场,30,北京市海淀区北清路156号龙芯创业园,116.175066,40.054084,ok
243,中石油昆仑网电,海淀区中航广场地下停车场公共充电站,社会公用,海淀区北三环西路43号,3,7,三环至四环,写字楼办公区,31,北京市海淀区北三环西路43号,116.323887,39.967654,ok
338,北京电力公司,北京市海淀区国际关系学院公共充电站,社会公用,北京市海淀区青龙桥街道月华路国际关系学院教工住宅4停车场,6,0,四环至五环,教育院校,32,北京市海淀区青龙桥街道月华路国际关系学院教工住宅4停车场,116.280008,40.002693,ok
339,北京电力公司,北京市海淀区国家图书馆公共充电站,社会公用,北京市海淀区中关村南大街33号,10,0,二环至三环,工业园区/厂区,33,北京市海淀区中关村南大街33号,116.317802,39.943094,ok
340,北京电力公司,北京市海淀区金望泽公共充电站,社会公用,北京市海淀区西北旺镇金望泽花卉综合市场停车场,20,0,五环至六环,旅游景点,34,北京市海淀区西北旺镇金望泽花卉综合市场停车场,116.257498,40.047385,ok
342,北京电力公司,北京市海淀区看守所院外公共充电站,社会公用,北京市海淀区苏家坨看守所院外停车场,12,0,六环外,政府机构,35,北京市海淀区苏家坨看守所院外停车场,116.151832,40.078443,ok
344,北京电力公司,北京市海淀区顺事嘉业创业园公共充电站,社会公用,北京市海淀区朱房路66号顺事嘉业创业园,4,0,五环至六环,工业园区/厂区,36,北京市海淀区朱房路66号顺事嘉业创业园,116.327973,40.025728,ok
357,北京电力公司,北京市海淀区用友软件园公共充电站,社会公用,北京市海淀区中科院光电技术所食堂楼停车场,8,0,五环至六环,工业园区/厂区,37,北京市海淀区中科院光电技术所食堂楼停车场,116.324299,39.981876,ok
360,北京电力公司,北京市海淀区中国农业科学院公共充电站,社会公用,北京市海淀区北下关街道中国农科院社区,8,0,二环至三环,教育院校,38,北京市海淀区北下关街道中国农科院社区,116.319525,39.956606,ok
380,北京电力公司,北京市海淀区铁科嘉苑饭店公共充电站,社会公用,北京市海淀区大柳树路6号铁科嘉苑饭店停车场,3,0,二环至三环,酒店宾馆,39,北京市海淀区大柳树路6号铁科嘉苑饭店停车场,116.330309,39.952183,ok
382,北京电力公司,北京市海淀区中科院自动化所院外公共充电站,社会公用,北京市海淀区中关村东路95号中科院自动化所院外停车场,2,0,三环至四环,教育院校,40,北京市海淀区中关村东路95号中科院自动化所院外停车场,116.326876,39.978033,ok
395,北京电力公司,北京市海淀区西三旗赏玩城公共充电站,社会公用,北京市海淀区西三旗赏玩城停车场,8,0,五环至六环,商业区,41,北京市海淀区西三旗赏玩城停车场,116.325352,39.73061,ok
396,北京电力公司,北京市海淀区颐和园西门公共充电站,社会公用,北京市海淀区颐和园西门停车场,96,0,四环至五环,城市公园绿地,42,北京市海淀区颐和园西门停车场,116.25641,39.982967,ok
397,北京电力公司,北京市海淀区汇通诺尔狂飙运动乐园充电站,社会公用,北京市海淀区永安伟业电力设备安装有限公司（原苏家坨东区供电所）,5,0,五环至六环,工业园区/厂区,43,北京市海淀区永安伟业电力设备安装有限公司（原苏家坨东区供电所）,116.291624,39.958634,ok
420,富电易充,上地环宇大厦充电站,社会公用,北京市海淀区东北旺西路8号院28号,2,10,五环至六环,商务办公区,44,北京市海淀区东北旺西路8号院28号,116.285604,40.0442,ok
431,特来电,北京万寿庄宾馆充电站,社会公用,海淀区万寿路西街7号,4,6,三环至四环,酒店宾馆,45,北京市海淀区万寿路西街7号,116.284964,39.90979,ok
435,万马爱充,北京市稻香湖景酒店,社会公用,北京市海淀区稻香湖路稻香湖酒店,25,0,五环至六环,酒店宾馆,46,北京市海淀区稻香湖路稻香湖酒店,116.175209,40.088131,ok
436,特来电,北京亿城国际中心充电站,社会公用,海淀区马连洼北路168号地下2层停车场,4,2,五环至六环,商务办公区,47,北京市海淀区马连洼北路168号地下2层停车场,116.276986,40.031918,ok
448,华商三优,海淀区鹏晟伟业清河优易充小站,社会公用,海淀区八达岭高速清河小营桥北马路西300米,2,0,五环至六环,车企4S店,48,北京市海淀区八达岭高速清河小营桥北马路西300米,116.337421,40.034827,ok
451,华商三优,海淀区北京工商大学西校区优易充小站,社会公用,海淀区北京工商大学西校区图书馆附近,2,0,二环至三环,其他,49,北京市海淀区北京工商大学西校区图书馆附近,116.27612,40.025327,ok
452,华商三优,海淀区大钟寺家居广场优易充小站,社会公用,海淀区北三环西路蓝景丽家大钟寺家居广场南,2,0,三环至四环,其他,50,北京市海淀区北三环西路蓝景丽家大钟寺家居广场南,116.333273,39.96541,ok
453,华商三优,海淀区节能大厦优易充小站,社会公用,海淀区西直门北大街道路东侧节能大厦门前,2,0,二环至三环,其他,51,北京市海淀区西直门北大街道路东侧节能大厦门前,116.350757,39.949739,ok
454,华商三优,海淀区远大路优易充小站,社会公用,海淀区远大路鲁园上河村,2,0,三环至四环,其他,52,北京市海淀区远大路鲁园上河村,116.28462,39.954643,ok
456,华商三优,海淀区北京邮电大学优易充小站,社会公用,海淀区北太平庄学院南路道路北京邮电大学旁,2,0,二环至三环,其他,53,北京市海淀区北太平庄学院南路道路北京邮电大学旁,116.351898,39.960186,ok
467,中石油昆仑网电,方圆大厦,社会公用,海淀区中关村南大街甲56号地下停车场,3,3,二环至三环,商务办公区,54,北京市海淀区中关村南大街甲56号地下停车场,116.323521,39.938062,ok
474,庞大驿联,北京中国农业大学西校区充电站,社会公用,（北五环）北京市海淀区圆明园西路2号,2,12,五环至六环,教育院校,55,（北五环）北京市海淀区圆明园西路2号,116.276677,40.024778,ok
476,特来电,北京用友软件园充电站,社会公用,北京市海淀区北清路68号用友软件园西区,6,12,五环至六环,产业园区,56,北京市海淀区北清路68号用友软件园西区,116.228619,40.066913,ok
485,特来电,北京金泰海博酒店充电站,社会公用,北京市海淀区西四环北路136号,2,8,三环至四环,酒店宾馆,57,北京市海淀区西四环北路136号,116.269985,39.937296,ok
553,北京电力公司,北京市海淀区永泰绿色生态园公共充电站,社会公用,北京市海淀区永泰庄北路9号永泰绿色生态园,8,0,五环至六环,酒店宾馆,58,北京市海淀区永泰庄北路9号永泰绿色生态园,116.361186,40.038803,ok
588,北京电力公司,北京市海淀区宋庆龄基金会北侧公共充电站,社会公用,北京市海淀区玉渊潭南路11号院宋庆龄儿童科技馆,27,0,二环至三环,政府机构,59,北京市海淀区玉渊潭南路11号院宋庆龄儿童科技馆,116.308431,39.910407,ok
651,北京驿联,北京海淀区东升科技园充电站点,社会公用,西小口路66号中关村 东升科技园,2,0,五环至六环,科技园区,60,北京市西小口路66号中关村 东升科技园,116.350891,40.044307,ok
680,特来电,北京京仪大厦充电站,社会公用,北京市市辖区海淀区^大钟寺东路9号-a座-1-～4楼,6,6,三环至四环,商务办公区,61,北京市市辖区海淀区^大钟寺东路9号-a座-1-～4楼,116.526751,39.801074,ok
686,特来电,北京市海淀国际学校充电站,社会公用,北京市市辖区海淀区^行集寺路,3,0,四环至五环,教育院校,62,北京市市辖区海淀区^行集寺路,116.34116,40.06029,ok
711,小桔充电,北京尚东数字山谷充电站,社会公用,海淀区东北旺西路8号院28号,2,0,五环至六环,科技园区,63,北京市海淀区东北旺西路8号院28号,116.285604,40.0442,ok
722,中石油昆仑网电,海淀区京宝行地上公共充电站,社会公用,北京市海淀区学院路34号,0,1,四环至五环,车企4S店,64,北京市海淀区学院路34号,116.346039,39.98627,ok
896,北京电力公司,北京市海淀区百望山森林公园北门公共充电站,社会公用,北京市海淀区百望山森林公园北门停车场,8,0,五环至六环,城市公园绿地,65,北京市海淀区百望山森林公园北门停车场,116.250502,40.037042,ok
897,北京电力公司,北京市海淀区国防教育基地公共充电站,社会公用,北京市海淀区四季青桥东北角国防教育基地,8,0,三环至四环,教育院校,66,北京市海淀区四季青桥东北角国防教育基地,116.271645,39.951178,ok
898,北京电力公司,北京市海淀区上地西街东大停车场公共充电站,社会公用,北京市海淀区后厂村路北侧东大停车场,40,12,五环至六环,公共停车场,67,北京市海淀区后厂村路北侧东大停车场,116.293547,40.054688,ok
899,北京电力公司,北京市海淀区玉泉慧谷二期南侧公共充电站,社会公用,北京市海淀区邓庄路玉泉慧谷2期中国民生银行北京香山支行南侧停车场,24,0,五环至六环,工业园区/厂区,68,北京市海淀区邓庄路玉泉慧谷2期中国民生银行北京香山支行南侧停车场,116.173304,39.990822,ok
900,北京电力公司,北京市海淀区振东科技大厦公共充电站,社会公用,北京市海淀区北京振东五和生物科技有限公司内部停车场,3,2,五环至六环,工业园区/厂区,69,北京市海淀区北京振东五和生物科技有限公司内部停车场,116.307264,40.035053,ok
901,北京电力公司,北京市海淀区中国林业科学院公共充电站,社会公用,北京市海淀区青龙桥街道中国林业科学研究院院内停车场,8,0,四环至五环,政府机构,70,北京市海淀区青龙桥街道中国林业科学研究院院内停车场,116.240517,40.002887,ok
902,北京电力公司,北京市海淀区中科院物理所北院公共充电站,社会公用,北京市海淀区中关村南三街8号中科院物理所北院停车场,14,2,三环至四环,教育院校,71,北京市海淀区中关村南三街8号中科院物理所北院停车场,116.324299,39.981876,ok
904,北京电力公司,北京市海淀区中关村军民融合产业园公共充电站,社会公用,北京市海淀区中关村军民融合产业园地下停车场,16,0,三环至四环,工业园区/厂区,72,北京市海淀区中关村军民融合产业园地下停车场,116.271412,39.948589,ok
905,北京电力公司,北京市海淀区中科院物理所南院公共充电站,社会公用,北京市海淀区中关村南三街8号中科院基础科学园区M楼东侧,12,4,三环至四环,教育院校,73,北京市海淀区中关村南三街8号中科院基础科学园区M楼东侧,116.324299,39.981876,ok
906,北京电力公司,北京市海淀区中航工业勘察设计研究院公共充电站,社会公用,北京海淀区中关村东路中航工业勘察设计研究院对面拓中航市场停车场,2,4,三环至四环,公共停车场,74,北京市北京海淀区中关村东路中航工业勘察设计研究院对面拓中航市场停车场,116.327315,39.983046,ok
978,依威能源,海淀四十七中,社会公用,苏家坨镇北安河五街291号地面停车场,0,10,六环外,公共停车场,75,北京市苏家坨镇北安河五街291号地面停车场,116.11075,40.062515,ok
1006,富电易充,万柳公寓三区外围光伏充电站,社会公用,北京市海淀区万柳中路29号院,6,0,三环至四环,教育院校,76,北京市海淀区万柳中路29号院,116.291736,39.959818,ok
1015,万城万充,中关村展示中心充电站,社会公用,北京市海淀区新建宫门路2号院4号门内侧,6,0,四环至五环,企事业单位,77,北京市海淀区新建宫门路2号院4号门内侧,116.289173,39.985745,ok
1025,万城万充,辉煌国际广场充电站,社会公用,北京市海淀区上地十街1号院地下二层停车场,10,0,五环至六环,商业区,78,北京市海淀区上地十街1号院地下二层停车场,116.305759,40.038091,ok
1049,优盛智控,创客小镇充电站,社会公用,北京市海淀区向山路辅路中关村创客小镇,4,0,五环至六环,公共停车场,79,北京市海淀区向山路辅路中关村创客小镇,116.19506,40.048345,ok
1054,易达新能,数字传媒大厦,社会公用,北京市海淀区信息路7号数字传媒大厦,0,2,五环至六环,商业区,80,北京市海淀区信息路7号数字传媒大厦,116.29937,40.042036,ok
1060,万马爱充,万马爱充东大停车场（南区）,社会公用,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,40,0,五环至六环,公共停车场,81,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,116.318749,40.02996,ok
1061,万马爱充,万马爱充东大停车场站（北区）,社会公用,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,72,0,五环至六环,公共停车场,82,北京市海淀区上地西路与G7京新高速出口交叉口西南50米东大停车场内,116.318749,40.02996,ok
1064,北京驿联,北京海淀区航空航天大学本校IRC大楼南侧充电站,社会公用,北京市海淀区学院路37号,6,7,三环至四环,教育院校,83,北京市海淀区学院路37号,116.344749,39.979269,ok
1065,北京驿联,北京海淀区航空航天大学本校校医院西侧充电站,社会公用,北京市海淀区学院路37号,0,7,三环至四环,教育院校,84,北京市海淀区学院路37号,116.344749,39.979269,ok
1066,北京驿联,北京市东北旺百旺绿荫停车场充电站,社会公用,北京市海淀区东北旺南路33号,22,0,五环至六环,公共停车场,85,北京市海淀区东北旺南路33号,116.285946,40.040217,ok
1067,北京驿联,北京语言大学充电站,社会公用,北京市海淀区学院路15号,2,6,四环至五环,教育院校,86,北京市海淀区学院路15号,116.350306,39.997814,ok
1068,北京驿联,北京市海淀区师范大学科技楼西侧停车场,社会公用,北京市海淀区新街口外大街19号科技楼西侧,2,6,二环至三环,教育院校,87,北京市海淀区新街口外大街19号科技楼西侧,116.360081,39.960195,ok
1075,一充科技,北京海淀银网中心充电站,社会公用,知春路113号银网中心地下二层停车场,8,0,三环至四环,商务办公区,88,北京市知春路113号银网中心地下二层停车场,116.314655,39.975333,ok
1081,高陆通,唐家岭站,社会公用,北京市海淀区西北旺镇友谊路81号,32,0,六环外,村镇,89,北京市海淀区西北旺镇友谊路81号,116.262395,40.078023,ok
1088,华商三优,海淀区城建大厦优易充小站,社会公用,海淀区北太平庄路18号,3,0,三环至四环,商务办公区,90,北京市海淀区北太平庄路18号,116.364827,39.967471,ok
1114,北京驿联,北京市天地邻枫地下停车场充电站,社会公用,北京市海淀区永泰庄北路1号天地邻枫产业园地下停车场,0,6,五环至六环,商务办公区,91,北京市海淀区永泰庄北路1号天地邻枫产业园地下停车场,116.365267,40.040966,ok
