序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
1508,智通充电,铭科苑小区,社会公用,北京市海淀区西二旗中路与西二旗大街交叉口南50米西二旗铭科苑(东北2门),0,9,五环至六环,公共停车场,129,北京市海淀区西二旗中路与西二旗大街交叉口南50米西二旗铭科苑(东北2门),116.309485,40.050589,ok
1509,智通充电,永丰嘉园一期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场,130,北京市海淀区永泽北路6号,116.24785,40.082039,ok
1510,智通充电,永丰嘉园三期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场,131,北京市海淀区永泽北路6号,116.24785,40.082039,ok
1511,智通充电,永丰嘉园五期,社会公用,北京市海淀区永泽北路6号,0,6,五环至六环,公共停车场,132,北京市海淀区永泽北路6号,116.24785,40.082039,ok
1518,智通充电,西三环北路23号,社会公用,北京市海淀区西三环北路23号院,0,12,三环至四环,公共停车场,133,北京市海淀区西三环北路23号院,116.301104,39.95225,ok
1563,北京电力公司,北京市海淀区香山公园2号停车场充电站,社会公用,北京市海淀区香山公园2号停车场（香泉环岛西北角）,15,0,五环至六环,旅游景点,134,北京市海淀区香山公园2号停车场（香泉环岛西北角）,116.214329,39.99263,ok
1573,北京电力公司,北京市海淀区温泉人家公共充电站,社会公用,北京市海淀区白家瞳东路9号温泉体育中心院内正东方向160米,2,0,五环至六环,公共停车场,135,北京市海淀区白家瞳东路9号温泉体育中心院内正东方向160米,116.182289,40.04251,ok
1578,北京电力公司,北京市海淀区香山公园3号停车场充电站,社会公用,北京市海淀区香山路香山公园3号停车场（香泉环岛西南角）,5,0,五环至六环,旅游景点,136,北京市海淀区香山路香山公园3号停车场（香泉环岛西南角）,116.214345,39.990474,ok
1586,星星充电,定慧产业园充电站,社会公用,北京市海淀区西四环中路6号停车场二层西侧,48,0,四环至五环,商务办公区,137,北京市海淀区西四环中路6号停车场二层西侧,116.269965,39.92125,ok
1600,重友新能源,(公共站)中关村国防科技园充电站,社会公用,北京市海淀区西三环北路甲2号,0,14,二环至三环,商务办公区,138,北京市海淀区西三环北路甲2号,116.303377,39.958398,ok
1603,隆瑞三优,(公共站)海淀区水科院南院瑞智充小站,社会公用,海淀区水科院大厦玉渊潭南路1号,20,4,二环至三环,科研院所,139,北京市海淀区水科院大厦玉渊潭南路1号,116.274924,39.911891,ok
1644,蓝谷极狐,极狐-中关村发展大厦充电站,社会公用,海淀区中关村发展大厦,0,5,五环至六环,科技园区,140,北京市海淀区中关村发展大厦,116.303185,40.03929,ok
1657,泛充科技,超级饭电五棵松华熙站,社会公用,北京北京市海淀区复兴路69号院12号地下二层停车场,6,0,三环至四环,大型商业购物中心,141,北京北京市海淀区复兴路69号院12号地下二层停车场,116.276815,39.910693,ok
1703,开迈斯,北京市海淀区京果商厦直流站,社会公用,四道口路2号,3,0,二环内,商务办公区,142,北京市四道口路2号,116.339346,39.958815,ok
1707,开迈斯,北京市海淀文化艺术大厦直流站,社会公用,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,16,0,二环内,商务办公区,143,北京市海淀区中关村街道知春路海淀剧院中关村大街与知春路交叉口东侧108米,116.318801,39.974041,ok
1709,特来电,中国人民大学立德楼地库充电站,社会公用,北京市市辖区海淀区海淀街道中国人民大学,2,6,三环至四环,教育院校,144,北京市市辖区海淀区海淀街道中国人民大学,116.313701,39.968989,ok
1713,特来电,北京四季青医院充电站,社会公用,北京市市辖区海淀区远大路32号,3,0,三环至四环,医疗机构,145,北京市市辖区海淀区远大路32号,116.272872,39.954944,ok
1719,吉事能源,吉事充五道口嘉园充电站,社会公用,北京市海淀区学院路街道暂安处2号院五道口嘉园,6,0,四环至五环,公共停车场,146,北京市海淀区学院路街道暂安处2号院五道口嘉园,116.333521,39.988632,ok
1728,中石油昆仑网电,北京市海淀区玲珑天地充电站,社会公用,北京市海淀区金隅大成玲珑天地停车场,9,0,三环至四环,商务办公区,147,北京市海淀区金隅大成玲珑天地停车场,116.271567,39.930304,ok
1755,高平安,北京海淀百旺绿荫充电站,社会公用,北京海淀区东北旺南路33号百旺绿茵停车场东南角,18,0,五环至六环,公共停车场,148,北京市北京海淀区东北旺南路33号百旺绿茵停车场东南角,116.285946,40.040217,ok
1762,开迈斯,北京市海淀区大钟寺怡和8号院直流站,社会公用,北京市海淀区四道口北街大钟寺8号,8,0,二环至三环,商务办公区,149,北京市海淀区四道口北街大钟寺8号,116.333273,39.96541,ok
1780,蓝谷极狐,极狐-五棵松冰上中心超充站,社会公用,海淀区复兴路69号,12,0,三环至四环,体育场馆,150,北京市海淀区复兴路69号,116.271626,39.911859,ok
1784,泛充科技,超级饭电绿海大厦充电站,社会公用,北京市海淀区永澄北路2号院停车场北侧,8,0,五环至六环,产业园区,151,北京市海淀区永澄北路2号院停车场北侧,116.221425,40.077981,ok
1816,星星充电,艾瑟顿国际公寓,社会公用,中关村海淀南路34号艾瑟顿国际公寓B1停车场,6,6,五环至六环,商务办公区,152,北京市中关村海淀南路34号艾瑟顿国际公寓B1停车场,116.296984,39.973048,ok
1831,高平安,北京海淀东软研发中心充电站,社会公用,北京市海淀区西北旺东路10号院东区22号楼,8,0,五环至六环,商务办公区,153,北京市海淀区西北旺东路10号院东区22号楼,116.276449,40.045768,ok
1841,海实电力,北京市海淀区中国共产主义青年团中央团校充电站,社会公用,北京市海淀区西三环北路25号,0,36,三环至四环,教育院校,154,北京市海淀区西三环北路25号,116.302172,39.949217,ok
1842,海实电力,北京市海淀区闵庄南路9号玉泉馨园生活广场充电站,社会公用,北京市海淀区闵庄南路9号,4,5,四环至五环,商业区,155,北京市海淀区闵庄南路9号,116.240924,39.96572,ok
1929,特斯拉上海,北京市海润大厦,社会公用,海淀南路36号美华海润大厦地上停车场（入口：海淀南路-西北1门）,50,0,三环至四环,商务办公区,156,北京市海淀南路36号美华海润大厦地上停车场（入口：海淀南路-西北1门）,116.405854,39.988219,ok
2006,特斯拉上海,中关村东升国际科学园,社会公用,北京市海淀区永泰庄北路1号东升科技园B-6号楼地下二层05-06,0,2,三环至四环,科技园区,157,北京市海淀区永泰庄北路1号东升科技园B-6号楼地下二层05-06,116.366059,40.040965,ok
2028,碧辟北京,BP快速充电站（北京海淀田村路23号院）,社会公用,田村路23号院,12,0,四环至五环,公共停车场,158,北京市田村路23号院,116.259742,39.929496,ok
2034,北京碧辟新能源,海淀区蓝景丽家大钟寺充电站,社会公用,中关村街道北三环西路219号,18,0,五环至六环,商业区,159,北京市中关村街道北三环西路219号,116.32362,39.96746,ok
2035,北京碧辟新能源,海淀区中关村公园南门充电站,社会公用,西北旺镇唐家岭路中关村公园南门,36,0,五环至六环,体育场馆,160,北京市西北旺镇唐家岭路中关村公园南门,116.28169,40.056509,ok
2046,北京碧辟新能源,海淀区西山商业大厦充电站,社会公用,北京市海淀区杏石口路69号停车场西侧小车场,34,0,三环至四环,商业区,161,北京市海淀区杏石口路69号停车场西侧小车场,116.230342,39.954158,ok
2065,乾华利和,海淀区北坞创新园超级充电站,社会公用,北京市海淀区四季青镇北坞创新园南区3号园区西侧,10,0,四环至五环,科技园区,162,北京市海淀区四季青镇北坞创新园南区3号园区西侧,116.247903,39.976669,ok
2066,乾华利和,北京工业锅炉集团超级充电站,社会公用,北京市海淀区北京工业锅炉集团东一门,4,0,四环至五环,公共停车场,163,北京市海淀区北京工业锅炉集团东一门,116.291624,39.958634,ok
2067,乾华利和,北京金四季购物中心充电站,社会公用,北京市海淀区四季青镇金四季购物中心停车场东侧,18,0,四环至五环,大型商业购物中心,164,北京市海淀区四季青镇金四季购物中心停车场东侧,116.265994,39.942908,ok
2092,高平安,北京海淀唐家岭红英小学南充电站,社会公用,海淀区唐家岭红英小学南侧空场内,36,0,五环至六环,公共停车场,165,北京市海淀区唐家岭红英小学南侧空场内,116.268421,40.062358,ok
2122,全来电,海淀镇功德寺社区居委会楼后停车区,社会公用,海淀镇功德寺社区居委会楼后停车区,0,1,四环至五环,旅游景点,166,北京市海淀镇功德寺社区居委会楼后停车区,116.257007,39.99829,ok
2133,天开快充,北京市海淀区金玉府充电站,社会公用,上庄大街金玉府23号楼B3,0,22,五环至六环,公共停车场,167,北京市上庄大街金玉府23号楼B3,116.224962,39.92089,ok
2162,重友新能源,(公共站)海淀万枫酒店充电站,社会公用,北京市海淀区翠湖北环路2号院,2,6,五环至六环,产业园区,168,北京市海淀区翠湖北环路2号院,116.18296,40.078591,ok
2206,极氪能源,北京中关村公园南门停车场极充站,社会公用,北京市海淀区唐家岭土井村路45号中关村公园（东南角）地面停车位,10,0,四环至五环,公共停车场,169,北京市海淀区唐家岭土井村路45号中关村公园（东南角）地面停车位,116.277391,40.059651,ok
2229,梅芳寻语,西三旗快速充电站,社会公用,北京市海淀区西三旗育新花园南50米（后屯路西）,36,0,五环至六环,公共停车场,170,北京市海淀区西三旗育新花园南50米（后屯路西）,116.3426,40.051804,ok
2258,五彩飞扬,五彩飞扬海淀区蓝靛厂西路11号世纪华天大酒店停车场充电站,社会公用,北京市海淀区蓝靛厂西路11号世纪华天大酒店停车场,20,0,三环至四环,酒店宾馆,171,北京市海淀区蓝靛厂西路11号世纪华天大酒店停车场,116.272955,39.962585,ok
2283,极氪能源,北京海淀悦界主题街区极充站,社会公用,北京市海淀区大牛房一巷与大牛房二环路交叉口南60米悦界主题街区地下停车场负二层,4,0,四环至五环,公共停车场,172,北京市海淀区大牛房一巷与大牛房二环路交叉口南60米悦界主题街区地下停车场负二层,116.226193,40.088166,ok
2290,海实电力,长峰假日酒店充电站,社会公用,北京市海淀区永定路66号院内,4,2,四环至五环,酒店宾馆,173,北京市海淀区永定路66号院内,116.259141,39.907836,ok
2327,广州小鹏,北京蓝景丽家大钟寺家居S4小鹏超快充站,社会公用,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,6,0,三环至四环,商业区,174,蓝景丽家地面车位（入口：北三环西路辅路），北京市海淀区北三环西路23号院,116.323177,39.965854,ok
2328,广州小鹏,北京启迪科技大厦小鹏超充站,社会公用,启迪科技大厦地下B3层（入口：中庭路）876-881号充电车位，北京市海淀区清华园街道中关村东路1号院,6,0,四环至五环,商务办公区,175,启迪科技大厦地下B3层（入口：中庭路）876-881号充电车位，北京市海淀区清华园街道中关村东路1号院,,,error
2329,广州小鹏,北京理想国际大厦小鹏超充站,社会公用,理想国际大厦地下B3层（入口：海淀北一街）341-349及353-361单数车位，北京市海淀区北四环西路58号,10,0,三环至四环,商务办公区,176,理想国际大厦地下B3层（入口：海淀北一街）341-349及353-361单数车位，北京市海淀区北四环西路58号,116.304183,39.982713,ok
2330,广州小鹏,北京中国电子大厦小鹏超充站,社会公用,电子大厦A座地下B3层F区（入口：海定中街）F06-F11车位，北京市海淀区丹棱街3号,6,0,三环至四环,商务办公区,177,电子大厦A座地下B3层F区（入口：海定中街）F06-F11车位，北京市海淀区丹棱街3号,,,error
2332,广州小鹏,北京印象城翠微店S4小鹏超快充站,社会公用,印象城翠微店地下B2层（入口：玉渊潭南路），北京市海淀区翠微路12号,4,0,三环至四环,大型商业购物中心,178,印象城翠微店地下B2层（入口：玉渊潭南路），北京市海淀区翠微路12号,116.296123,39.908798,ok
2349,隆瑞三优,隆瑞三优西黄庄超级充电站,社会公用,北京市海淀区远大路39号院-2号,4,0,三环至四环,其他,179,北京市海淀区远大路39号院-2号,116.270971,39.956223,ok
2360,隆瑞三优,隆瑞三优香泉环岛超级充电站,社会公用,北京市海淀区香泉环岛1号,4,0,五环至六环,其他,180,北京市海淀区香泉环岛1号,116.211707,39.990114,ok
2368,中石油昆仑网电,中国矿业大学学院路校区充电站,社会公用,北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,4,6,四环至五环,教育院校,181,北京市北京海淀区学院路丁11号东1们进直行500米右转再直行200米侧逸夫楼旁边,116.342183,39.996189,ok
2377,蔚来,蔚来超充站北京理想国际大厦,社会公用,北京市海淀区北四环西路58号,7,0,三环至四环,商务办公区,182,北京市海淀区北四环西路58号,116.309737,39.978601,ok
2378,蔚来,蔚来超充站北京海淀西黄庄,社会公用,北京市海淀区曙光街道远大路远大路39-2号院(南坞桥东南500米),2,0,三环至四环,酒店宾馆,183,北京市海淀区曙光街道远大路远大路39-2号院(南坞桥东南500米),116.268888,39.961519,ok
2380,蔚来,蔚来超充站中关村公园,社会公用,北京市海淀区土井村路甲49号,2,0,五环至六环,城市公园绿地,184,北京市海淀区土井村路甲49号,116.266581,40.061197,ok
2384,蔚来,蔚来超充站北京百度科技园K1,社会公用,北京市海淀区西北旺东路10号院(马连洼街道西北旺社区东北方向),16,12,五环至六环,科技园区,185,北京市海淀区西北旺东路10号院(马连洼街道西北旺社区东北方向),116.244567,40.053689,ok
2400,蔚来,蔚来超充站北京海淀北坞创新园,社会公用,北京市海淀区北坞村路23号,4,0,四环至五环,产业园区,186,北京市海淀区北坞村路23号,116.24867,39.978596,ok
2411,蔚来,蔚来超充站北京永泰庄观林园,社会公用,北京市海淀区清河宝盛里观林园(黑泉路东),4,0,五环至六环,城市公园绿地,187,北京市海淀区清河宝盛里观林园(黑泉路东),116.366692,40.037914,ok
2412,蔚来,蔚来超充站北京清河水木天成,社会公用,北京市海淀区G6辅路与清河路交叉口东北方向60米,2,0,五环至六环,体育场馆,188,北京市海淀区G6辅路与清河路交叉口东北方向60米,116.344567,40.025945,ok
2415,蔚来,蔚来超充站北京朗丽兹西山花园酒店,社会公用,北京市海淀区丰智东路13号,12,0,五环至六环,酒店宾馆,189,北京市海淀区丰智东路13号,116.243778,40.065812,ok
2417,蔚来,蔚来超充站北京西站,社会公用,北京市海淀区北蜂窝西路与莲花池东路辅路交叉口正西方向101米,4,0,二环至三环,火车站,190,北京市海淀区北蜂窝西路与莲花池东路辅路交叉口正西方向101米,116.3394,39.91608,ok
2492,碧辟北京,BP快速充电站（北京海淀唐家岭停车场）,社会公用,北京市海淀区唐家岭规划一路中关村公园南门停车场,32,0,五环至六环,公共停车场,191,北京市海淀区唐家岭规划一路中关村公园南门停车场,116.28169,40.056509,ok
2494,碧辟北京,BP快速充电站（北京海淀万寿宾馆）,社会公用,万寿路甲12号,20,0,三环至四环,酒店宾馆,192,北京市万寿路甲12号,116.290769,39.909321,ok
2495,碧辟北京,BP慢充站（北京海淀万寿宾馆）,社会公用,万寿路甲12号,0,4,三环至四环,酒店宾馆,193,北京市万寿路甲12号,116.290769,39.909321,ok
2500,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼C座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇,194,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,116.345321,39.983166,ok
2501,京电博源,（公共站）北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场公共充电站,社会公用,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,8,2,五环至六环,村镇,195,北京市海淀区中关村集成电路设计园2号楼D座地下二层停车场,116.345321,39.983166,ok
2572,广汽能源,昊铂北京百旺绿茵超充站,社会公用,北京市海淀区上地街道东北旺路蓝天停车-百旺绿荫地面停车场,4,0,五环至六环,公共停车场,196,北京市海淀区上地街道东北旺路蓝天停车-百旺绿荫地面停车场,116.286768,40.03935,ok
