序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
1,中石化,广泽桥加油充电站,社会公用,朝阳区望京地区屏翠东路，北五环内环望京出口（地上）,4,0,四环至五环,其他
2,金银建科技,银建黑石头营运基地电动车充电站,社会公用,北京市石景山区石府路甲2号,10,0,五环至六环,其他
3,华商三优,通州区潞城公共充电站,社会公用,通州区通湖路六环桥下武夷花园月季雅园附近,52,102,五环至六环,经营性场所
4,畅的智能,嘉捷恒信,社会公用,西环南路26号院蜜糖门店外,3,4,五环至六环,商业区
5,富电易充,华贸中心公寓充电站,社会公用,华贸16号商务楼B3停车场,7,16,三环至四环,商业区
6,特来电,北京亦城国际充电站,社会公用,北京市经济技术开发区荣华中路10号,4,7,五环至六环,商业区
7,中石油昆仑网电,巨石大厦,社会公用,东城区新中西里13号,3,0,二环至三环,写字楼办公区
8,中石油昆仑网电,北京东方喜庆大酒店,社会公用,朝阳区东四环小武基往北200米南大山子8号 东四环南路小武基桥北前行200米 酒店进门右侧停车场 ,1,3,四环至五环,酒店宾馆
9,中石油昆仑网电,民兵武器装备陈列馆,社会公用,通州区京杭大运河源头，永顺镇焦五庄北口（武器装备陈列馆）,4,3,五环至六环,政府机构
10,依威能源,蜂鸟社区商业楼,社会公用,海淀区万柳中路33号,0,2,三环至四环,商业区
11,特来电,北京亦庄生物医药园地上停车场充电站,社会公用,北京市市辖区通州区经济开发区路东区科创六街88号(地面),2,6,五环至六环,科技园区
12,中石油昆仑网电,加速器一区,社会公用,海淀区北清路99号永丰产业基地,2,0,五环至六环,产业园区
13,依威能源,北方中惠国际大厦,社会公用,石景山区鲁谷大街,0,5,四环至五环,商务办公区
14,中石油昆仑网电,科创基地,社会公用,朝阳区将台路5号首信大厦 国能中心：7快3慢16号楼北停车场：12快5慢,12,5,四环至五环,教育院校
15,中石油昆仑网电,北京西站地下停车场,社会公用,丰台区西三环莲花桥东部 南广场地下停车场F区,2,0,二环至三环,交通枢纽
16,中石油昆仑网电,希尔顿酒店,社会公用,朝阳区东三环北路东方路1号地下停车场 ,1,1,三环至四环,酒店宾馆
17,中石油昆仑网电,万兴家居广场,社会公用,丰台区南三环80号玉泉营桥西万兴家居广场,15,2,四环至五环,商业区
18,中石油昆仑网电,金益大厦,社会公用,西城区金融大街4号,4,0,二环至三环,商业区
19,中石油昆仑网电,强佑集团总部,社会公用,东城区民旺园31号楼 美廉美超市和平新城店门口,3,2,二环至三环,商业区
20,中石油昆仑网电,凯宾斯基酒店,社会公用,怀柔区雁栖湖雁水路甲18号,0,4,二环至三环,酒店宾馆
21,中石油昆仑网电,澳门中心,社会公用,东城区金鱼胡同王府井东街8号地下B2停车场 6快4慢地上停车场 2快,8,4,二环至三环,商业区
22,中石油昆仑网电,汇智大厦,社会公用,海淀区学清路9号汇智大厦进门右转,2,0,四环至五环,写字楼办公区
23,中石油昆仑网电,宋庄美术馆,社会公用,宋庄艺术园区内西北角停车场,2,4,六环外,旅游景点
24,中石油昆仑网电,博雅资源中心,社会公用,昌平区北清路中关村生命科学园路4号院,5,5,五环至六环,商业区
25,中石油昆仑网电,星火科技大厦,社会公用,丰台区富丰路2号,6,2,四环至五环,科技园区
26,首钢充电,首钢机电公司充电点,社会公用,石景山区古城西路183号首钢机电,1,2,五环至六环,商务办公区
27,中石油昆仑网电,永昌工业园,社会公用,大兴区亦庄经济技术开发区永昌北路3号院内7号楼东侧停车场,8,2,五环至六环,工业园区/厂区
28,中石油昆仑网电,加速器二区,社会公用,北京海淀区北清路99号由东门进右转即到,6,0,四环至五环,科技园区
29,中石油昆仑网电,普天大厦,社会公用,海淀北二街6号普天大厦地面停车场,9,0,三环至四环,商务办公区
30,中石油,奥东加油站,社会公用,北京市朝阳区来广营东路奥东加油站,2,0,五环至六环,其他
31,畅的智能,科创三街3号院,社会公用,亦庄科创三街3号院,6,0,五环至六环,工业园区/厂区
32,易卡充电科技,易卡充电(红木街),社会公用,北京市丰台区西三环南路,0,8,三环至四环,商业区
33,北京电力公司,北京市顺义区牛栏山供电所公共充电站,社会公用,北京市顺义区牛栏山镇牛富路牛山段8号先进村北,2,0,六环外,企事业单位
34,北京电力公司,北京市顺义区仁和供电所公共充电站,社会公用,北京市顺义区仁和镇米各庄村北，顺义区南二环路仁和镇米各庄村北仁和供电所,2,0,六环外,企事业单位
35,北京电力公司,北京市顺义区天竺供电所公共充电站,社会公用,北京市顺义区天竺镇小王辛庄南路6号,2,0,五环至六环,企事业单位
36,北京电力公司,北京市大兴区采育供电所公共充电站,社会公用,北京市大兴区采育镇119消防向东500米采育供电所,2,0,六环外,企事业单位
37,北京电力公司,北京市门头沟区龙泉供电所公共充电站,社会公用,北京市门头沟区城子大街3号,2,0,六环外,企事业单位
38,北京电力公司,北京市通州区京田建筑公司公共充电站,社会公用,北京市通州区梨园南街京田建筑公司院外,5,0,五环至六环,工业园区/厂区
39,北京电力公司,北京市门头沟区门头沟供电公司公共充电站,社会公用,北京市门头沟区滨河路66号门头沟供电公司,2,0,六环外,企事业单位
40,北京电力公司,北京市门头沟区妙峰山供电所公共充电站,社会公用,北京市门头沟区陇家庄村坟上268京西酒店对面,2,0,六环外,企事业单位
41,北京电力公司,北京市大兴区念坛公园东门公共充电站,社会公用,北京市大兴区兴源大街念坛公园东门停车场,5,0,五环至六环,城市公园绿地
42,北京电力公司,北京市门头沟区清水供电所公共充电站,社会公用,北京市门头沟区清水镇上清水村892清水镇政府下车,2,0,六环外,企事业单位
43,北京电力公司,北京市大兴区榆垡供电所公共充电站,社会公用,北京市大兴区榆垡镇榆垡开发区榆新路榆垡供电所院内,2,0,六环外,企事业单位
44,北京电力公司,北京市门头沟区雁翅供电所公共充电站,社会公用,北京市门头沟区雁翅镇雁翅供电所院内,2,0,六环外,企事业单位
45,北京电力公司,北京市门头沟区斋堂供电所公共充电站,社会公用,北京市门头沟区斋堂镇斋堂供电所门口,2,0,六环外,企事业单位
46,北京电力公司,北京市密云区不老屯供电所公共充电站,社会公用,北京市密云区不老屯镇不老屯村北（镇政府北150米）,1,0,六环外,企事业单位
47,北京电力公司,北京市密云区黑龙潭公共充电站,社会公用,北京市密云区黑龙潭景区大型车停车场（大关桥北200米）,2,0,六环外,城市公园绿地
48,北京电力公司,北京市平谷区交通局驾校公共充电站,社会公用,北京市平谷区交通局驾校院内,5,0,六环外,政府机构
49,北京电力公司,北京市石景山区朝阳医院附属医院公共充电站,社会公用,北京市石景山区朝阳医院附属医院住院部楼前停车场,3,0,五环至六环,医疗机构
50,北京电力公司,京沪高速马驹桥服务区公共充电站(上海方向),社会公用,北京市通州区马驹桥高速路服务区出京方向,8,0,五环至六环,高速服务区
51,北京电力公司,北京市石景山区苹果园南路物美公共充电站,社会公用,北京市石景山区苹果园南路物美大卖场停车场南门左侧,8,0,五环至六环,商业区
52,北京电力公司,北京市石景山区石景山供电公司公共充电站,社会公用,北京市石景山区鲁谷路59号石景山供电公司门口路北侧停车场,3,0,四环至五环,企事业单位
53,北京电力公司,北京市石景山区中科院高能物理所主楼公共充电站,社会公用,北京市石景山区玉泉路乙19号院中国科学院大学内16号楼东南侧配电室门口停车场,4,0,四环至五环,教育院校
54,北京电力公司,北京市石景山区中科院高能物理所住宅楼公共充电站,社会公用,北京市石景山区玉泉路乙19号院中国科学院大学内19号院27号楼,2,0,四环至五环,教育院校
55,北京电力公司,北京市朝阳区兴隆公园北门公共充电站,社会公用,北京市朝阳区高碑店兴隆公园北门南门涮肉停车场,2,0,四环至五环,城市公园绿地
56,北京电力公司,北京市朝阳区天雅古玩城公共充电站,社会公用,北京市朝阳区华威南路6号停车场,12,0,二环至三环,商业区
57,北京电力公司,北京市西城区人民剧场公共充电站,社会公用,北京市西城区护国寺大街74号人民剧场停车场入口右侧,2,0,二环内,经营性场所
58,北京电力公司,北京市怀柔区后桥梓村公共充电站,社会公用,北京市怀柔区桥梓镇后桥梓村小型停车场,1,4,六环外,村镇
59,北京电力公司,北京市西城区万特商场公共充电站,社会公用,北京市西城区新街口北大街57号停车场地下B3停车场022号车位对面,4,0,二环内,商业区
60,北京电力公司,北京市西城区万通广场公共充电站,社会公用,北京市西城区阜成门外东大街2号万通商城右侧20米（麦当劳对面）,0,10,二环至三环,商业区
61,北京电力公司,北京市怀柔区慕田峪长城公共充电站,社会公用,北京市怀柔区慕田峪村慕田峪长城停车场,8,4,六环外,旅游景点
62,北京电力公司,北京市怀柔区雁栖镇范各庄公共充电站,社会公用,北京市怀柔区京加路雁栖镇范各庄村路口停车场,8,4,六环外,村镇
63,北京电力公司,北京市东城区王府井霞公府公共充电站,社会公用,北京市东城区霞公府街1号北门底下B口（B2259-B2260）,10,0,二环至三环,工业园区/厂区
64,北京电力公司,北京市东城区银河SOHO公共充电站,社会公用,北京市东城区西水井胡同银河soho地下B3A区3196-3204,10,0,二环内,工业园区/厂区
65,北京电力公司,北京市亦庄开发区北工大软件园公共充电站,社会公用,北京市大兴区亦庄开发区地盛北街1号院北工大软件园内部公共停车场,2,0,五环至六环,工业园区/厂区
66,北京电力公司,北京市亦庄开发区汇龙森二园公共充电站,社会公用,北京市大兴区北京经济技术开发区西环南路西环南路18号汇龙森二厂公共停车场,2,0,五环至六环,工业园区/厂区
67,北京电力公司,北京市房山区云居寺公共充电站,社会公用,北京市房山区云居寺停车场（静婉广场西北）,5,0,六环外,城市公园绿地
68,北京电力公司,北京市房山区长阳供电所公共充电站,社会公用,北京市房山区长阳供电所,2,0,五环至六环,企事业单位
69,北京电力公司,京沪高速马驹桥服务区公共充电站(北京方向),社会公用,北京市通州区马驹桥高速路服务区进京方向,4,0,五环至六环,高速服务区
70,北京电力公司,北京市丰台区科技园供电所公共充电站,社会公用,北京市丰台区富锦嘉园二区3号楼东侧，科技园供电所北侧,2,2,四环至五环,科技园区
71,北京电力公司,北京市丰台区庞大驾校公共充电站,社会公用,北京市丰台区大红门南路与嘉禾庄路十字路口向西400米佳乐驾校院内,3,0,四环至五环,经营性场所
72,北京电力公司,北京市丰台区芳古园二区充电站,社会公用,北京市丰台区芳古园二区甲10号楼方庄供电所,2,0,二环至三环,企事业单位
73,北京电力公司,北京市丰台区万丰路万开广场公共充电站,社会公用,北京市丰台区万丰路万开广场（停车场）（梦都酒家对面）,10,26,四环至五环,商业区
74,北京电力公司,北京市昌平区昌平供电公司公共充电站,社会公用,北京市昌平区永安路33号，昌平供电公司营业厅停车场,4,0,六环外,企事业单位
75,北京电力公司,北京市丰台区建委公共充电站,社会公用,北京市丰台区靛厂路12号丰台区建委院内入口左侧,6,0,三环至四环,政府机构
76,北京电力公司,北京市石景山区体育场西侧公共充电站,社会公用,北京市石景山区体育场西街石景山体育局院内停车场西侧灯杆下,2,0,五环至六环,体育场馆
77,北京电力公司,北京市通州区北苑地铁站停车场公共充电站,社会公用,北京市通州区北苑地铁站P+R停车场,5,0,五环至六环,地铁站
78,北京电力公司,北京市通州区漷县供电所公共充电站,社会公用,北京市通州区漷县镇漷兴二街营业厅,1,0,六环外,经营性场所
79,北京电力公司,北京市昌平区文化区供电所公共充电站,社会公用,北京市昌平区育知西路通达园向东，文化区供电所停车场.昌平区风雅园三区,5,0,五环至六环,企事业单位
80,北京电力公司,北京市朝阳区朝阳公园东5门公共充电站,社会公用,北京市朝阳区朝阳公园东五门停车场,6,0,三环至四环,城市公园绿地
81,北京电力公司,北京市海淀区京仪大厦地面公共充电站,社会公用,北京市海淀区大钟寺东路9号京仪宾馆地面停车场,2,0,四环至五环,工业园区/厂区
82,北京电力公司,北京市朝阳区慈云寺住邦五楼公共充电站,社会公用,北京市朝阳区东四环慈云寺桥东南角住邦2000五号楼地下B3停车场,6,6,四环至五环,商业区
83,北京电力公司,北京市海淀区清华大学汽车所公共充电站,社会公用,北京市海淀区清华大学校内汽车工程系停车场,1,4,四环至五环,教育院校
84,北京电力公司,北京市海淀区首都师范大学北1区公共充电站,社会公用,北京市海淀区西三环北洼路首都师范大学北1区文科楼停车场（南门西侧文学院旁）,4,0,三环至四环,教育院校
85,北京电力公司,北京市海淀区首都师范大学东校区学生食堂公共充电站,社会公用,北京市海淀区阜外大街北堆子甲23号院首都师范大学东校区学生食堂外,6,0,二环至三环,教育院校
86,北京电力公司,北京市海淀区腾达大厦地下公共充电站,社会公用,"北京市海淀区西直门外大街168号，腾达大厦地下停车场（B1地下车库015.016.017,021-030)",5,0,二环至三环,工业园区/厂区
87,北京电力公司,北京市怀柔区怀北滑雪场公共充电站,社会公用,北京市怀柔区怀北镇河防口怀北滑雪场内,0,0,六环外,旅游景点
88,北京电力公司,北京市延庆区永宁供电所公共充电站,社会公用,北京市延庆区永宁镇永宁供电所院内停车场,0,0,六环外,经营性场所
89,北京电力公司,北京市怀柔区北宅村委会公共充电站,社会公用,北京市怀柔区桥梓镇北宅村委会大门口,2,0,六环外,政府机构
90,北京电力公司,北京市怀柔区九渡河水长城公共充电站,社会公用,北京市怀柔区九渡河镇西水峪村水长城旅游景点停车场,10,0,六环外,城市公园绿地
91,北京电力公司,北京市大兴区南海子公园南门西公共充电站,社会公用,北京市大兴区瀛海南海子公园西南门停车场,8,0,五环至六环,城市公园绿地
92,北京电力公司,北京市怀柔区城区供电所公共充电站,社会公用,北京市怀柔区怀柔供电公司城区供电所门口北侧,2,0,六环外,公共停车场
93,北京电力公司,北京市门头沟区潭柘寺风景区公共充电站,社会公用,北京市门头沟区潭柘寺风景区潭柘寺停车场内,3,6,六环外,旅游景点
94,北京电力公司,北京市房山区长阳体育公园公共充电站,社会公用,北京市房山区长阳镇体育公园南侧停车场,7,6,五环至六环,城市公园绿地
95,北京电力公司,北京市朝阳区高井传媒文化园停车楼公共充电站,社会公用,北京市朝阳区高碑店乡高井村传媒文化园区8号停车楼地上2，3，4，5层地下1层,5,4,四环至五环,工业园区/厂区
96,北京电力公司,北京市朝阳区高井传媒文化园主楼公共充电站,社会公用,北京市朝阳区高碑店乡高井村传媒文化园区8号主楼地下车库地下1层,5,0,四环至五环,工业园区/厂区
97,北京电力公司,北京市朝阳区华阳奥通汽车销售有限公司公共充电站,社会公用,北京市朝阳区顾家庄桥北奥迪培训中心停车场,2,0,五环至六环,车企4S店
98,北京电力公司,北京市门头沟区永定供电所公共充电站,社会公用,北京市门头沟区永定镇石门营环岛东路1号,4,0,六环外,企事业单位
99,北京电力公司,北京市密云区北京旅游咨询公共充电站,社会公用,北京市密云区北京旅游咨询（密云区水政监察大队西南）,18,0,六环外,企事业单位
100,北京电力公司,北京市丰台区北宫森林公园公共充电站,社会公用,北京市丰台区长辛店镇北宫森林公园停车场,50,0,五环至六环,旅游景点
101,北京电力公司,北京市延庆区岔道村公共充电站,社会公用,北京市延庆区岔道村南侧停车场,52,0,六环外,公共停车场
102,北京电力公司,北京市昌平区生命科学园地铁站停车场公共充电站,社会公用,北京市昌平区地铁生命科学园站停车场,14,0,五环至六环,地铁站
103,北京电力公司,北京市密云区大学生公寓公共充电站,社会公用,北京市密云区检查院东侧停车场,18,0,六环外,公共停车场
104,北京电力公司,北京市房山区六渡公共充电站,社会公用,北京市房山区六渡桥（十渡汽车露营地）,5,0,六环外,城市公园绿地
105,北京电力公司,北京市海淀区翠微商场公共充电站,社会公用,北京市海淀区花园路2号翠微商场西门入口左侧,0,3,三环至四环,商业区
106,北京电力公司,北京市海淀区牡丹电子集团公共充电站,社会公用,北京市海淀区花园路2号牡丹电子集团地面停车场东侧过道内,2,9,三环至四环,工业园区/厂区
107,北京电力公司,北京市平谷区金海湖供电所公共充电站,社会公用,北京市平谷区金海湖坝前广场停车场,5,3,六环外,企事业单位
108,北京电力公司,北京市平谷区马昌营供电所公共充电站,社会公用,北京市平谷区马昌营镇海子村东,2,0,六环外,企事业单位
109,北京电力公司,北京市平谷区山东庄供电所公共充电站,社会公用,北京市平谷区山东庄镇小北关东环路4号（南大街2号）,1,1,六环外,企事业单位
110,北京电力公司,北京市密云区绿地花园公共充电站,社会公用,北京市密云区绿地花园西侧停车场,47,3,六环外,旅游景点
111,北京电力公司,北京市平谷区峪口供电所公共充电站,社会公用,北京市平谷区峪口镇政府西,2,0,六环外,企事业单位
112,北京电力公司,北京市顺义区首都机场公共充电站,社会公用,北京市顺义区机场西路首都机场T3航站楼，出机场高速,50,0,五环至六环,机场
113,北京电力公司,北京市通州区永乐店供电所公共充电站,社会公用,北京市通州区永乐店镇张凤路渠头大街51号永乐店供电所,2,0,六环外,经营性场所
114,北京电力公司,京港澳高速窦店服务区公共充电站(北京方向),社会公用,北京市房山区窦店高速路服务区进京方向,4,0,六环外,高速服务区
115,北京电力公司,京港澳高速窦店服务区公共充电站(港澳方向),社会公用,北京市房山区窦店高速路服务区出京方出,4,0,六环外,高速服务区
116,北京电力公司,北京市西城区景山公园西门公共充电站,社会公用,北京市西城区景山西街44号景山公园西门停车场内入口右侧,8,8,二环内,城市公园绿地
117,北京电力公司,北京市大兴区念坛公园南门公共充电站,社会公用,北京市大兴区兴源大街念坛公园南门停车场,0,10,五环至六环,城市公园绿地
118,北京电力公司,北京市海淀区东升科技园地下公共充电站,社会公用,北京市海淀区西小口路66号科技园创新中心地下B2停车场B区149-155号车位161-166车位,3,10,五环至六环,工业园区/厂区
119,北京电力公司,北京市海淀区清华科技园公共充电站,社会公用,北京市海淀区中关村东路1号谷歌大厦门口,3,22,四环至五环,工业园区/厂区
120,北京电力公司,北京市海淀区北京理工大学公共充电站,社会公用,北京市海淀区中关村南大街5号北京理工大学信息科技实验楼,2,24,二环至三环,教育院校
121,北京电力公司,北京市朝阳区中建国际中心公共充电站,社会公用,北京市朝阳区安定路5号院4号楼地下四层,6,0,三环至四环,工业园区/厂区
122,北京电力公司,北京市大兴区南海子公园南门东公共充电站,社会公用,北京市大兴区瀛海南海子公园东南门停车场,7,0,五环至六环,城市公园绿地
123,北京电力公司,北京市大兴区西红门供电所公共充电站,社会公用,"北京市大兴区西红门镇兴业桥西,南五环辅路北,西红门供电所门口",3,0,四环至五环,企事业单位
124,北京电力公司,北京市房山区南召供电所公共充电站,社会公用,北京市房山区南召供电所,2,0,六环外,企事业单位
125,北京电力公司,北京市房山区首都西南旅游集散中心公共充电站,社会公用,北京市房山区云居寺路首都西南旅游集散中心,13,0,六环外,政府机构
126,北京电力公司,北京市房山区窑上供电所公共充电站,社会公用,北京市房山区窑上供电所,2,0,六环外,企事业单位
127,北京电力公司,北京市大兴区野生动物园公共充电站,社会公用,北京市大兴区榆垡镇野生动物园西门北停车场（106国道辅路）,5,10,六环外,旅游景点
128,北京电力公司,北京市平谷区交通局公共充电站,社会公用,北京市平谷区交通局院内,5,0,六环外,政府机构
129,北京电力公司,北京市丰台区紫峪家园公共充电站,社会公用,北京市丰台区长辛店镇太子峪村紫峪家园小区长兴路5号院西门外路边,2,0,五环至六环,企事业单位
130,北京电力公司,北京市平谷区平谷体育中心公共充电站,社会公用,北京市平谷区体育中心西路东,60,10,六环外,体育场馆
131,北京电力公司,北京市西城区金融街购物中心公共充电站,社会公用,北京市西城区金融街金城坊街2号地下B2停车场D3区076-082号车位,5,4,二环内,商业区
132,北京电力公司,北京市西城区西单老佛爷公共充电站,社会公用,北京市西城区灵境胡同43号院地下B2停车场B038-B043号车位,5,0,二环内,工业园区/厂区
133,北京电力公司,北京市门头沟区北汽凯翔风4S店公共充电站,社会公用,北京市门头沟区双峪路24号北汽4S店院内,3,2,六环外,工业园区/厂区
134,北京电力公司,北京市密云区久润花园东区公共充电站,社会公用,北京市密云区久润东区门面房（檀西路35-5）,2,0,六环外,企事业单位
135,北京电力公司,北京市丰台区花乡供电所公共充电站,社会公用,北京市丰台区丰葆路198号花乡供电所院内,3,0,四环至五环,企事业单位
136,北京电力公司,北京市怀柔区APEC金雁饭店公共充电站,社会公用,北京市怀柔区雁栖湖雁水路甲18号日出东方酒店内,2,3,六环外,酒店宾馆
137,北京电力公司,北京市东城区东环广场公共充电站,社会公用,北京市东城区东中街19号东环广场A座西侧,0,2,二环至三环,商业区
138,北京电力公司,北京市大兴区黄村供电所公共充电站,社会公用,北京市大兴区黄村镇新风街48号孙村卫生服务中心旁南10米黄村供电所,2,0,六环外,企事业单位
139,中石油昆仑网电,纳百川酒楼,社会公用,怀柔区雁栖镇柏崖厂村村委会北1200米（地上）,3,3,六环外,酒店宾馆
140,中石油昆仑网电,房车博览中心,社会公用,房山区长阳大宁山庄北京房车博览中心,2,4,五环至六环,科技园区
141,中石油昆仑网电,乐天玛特（洋桥）店,社会公用,丰台区大红门西路19号,5,3,三环至四环,商业区
142,中石油昆仑网电,利泽汽修公司,社会公用,顺义区马坡镇京密1号线段（利泽修理有限公司院内）,1,4,六环外,车企4S店
143,依威能源,尼奥大厦,社会公用,北京市东城区东花市南里东区,0,4,二环至三环,商务办公区
144,依威能源,万泉商务花园,社会公用,北京市海淀区万柳东路25号,0,5,三环至四环,商务办公区
145,特来电,北京市京燕饭店充电站,社会公用,北京市石景山区石景山路29号,7,0,五环至六环,酒店宾馆
146,特来电,北京三三老栗树合作社充电站,社会公用,北京市怀柔区渤海镇渤海所1099号,4,0,六环外,商务办公区
147,依威能源,国恒基业大厦,社会公用,北京市朝阳区元大都7号,0,3,三环至四环,商务办公区
148,特来电,北京亦庄交通大队二期充电站,社会公用,北京市经济技术开发区东区科创四街1号,0,0,五环至六环,企事业单位
149,依威能源,7天酒店北京三元桥地铁站国展中心店,社会公用,朝阳区西坝河南里3号,0,2,二环至三环,酒店宾馆
150,中石油昆仑网电,嘉铭中心,社会公用,朝阳区朝阳东三环北路27号B座B3停车场,0,8,二环至三环,商业区
151,依威能源,嘉友国际大厦,社会公用,北京市海淀区蓝靛厂南路25号,0,5,三环至四环,商务办公区
152,依威能源,新成文化大厦,社会公用,崇外大街11号新成文化大厦B座(东门),0,2,二环至三环,商务办公区
153,依威能源,蓝谷科技大厦,社会公用,北京市丰台区科技园星火路11号,0,4,四环至五环,商务办公区
154,依威能源,望京科技园,社会公用,北京市朝阳区利泽中二路,2,2,四环至五环,商务办公区
155,依威能源,新裕商务大厦,社会公用,北京市东城区广渠门内大街90号,0,3,二环至三环,商务办公区
156,依威能源,太平洋保险大厦,社会公用,北京市西城区太平桥大街丰盛胡同28号,1,2,二环至三环,公共停车场
157,经开互联,大兴区亦庄北工大软件园荣京道地面充电桩,社会公用,北京市大兴区亦庄地盛北街1号院北工大软件园北面荣京道地面停车场,8,8,五环至六环,科技园区
158,特来电,中科院软件园充电站,社会公用,北京市海淀区中关村南四街4号（地面）,4,5,三环至四环,科技园区
159,特来电,北京亚洲大酒店充电站,社会公用,北京市东城区工体北路新中西街8号,5,4,二环至三环,酒店宾馆
160,ScameTOP,司坎充电站,社会公用,北京丰台久敬庄56号，突破电气总部,0,2,四环至五环,商务办公区
161,中石油昆仑网电,速8酒店开阳桥店,社会公用,丰台区右安门外东滨河路2号院,0,4,二环内,酒店宾馆
162,特来电,北京现代城充电站,社会公用,北京市朝阳区建国路88号建国门外,2,1,三环至四环,商务办公区
163,依威能源,数码大厦,社会公用,北京市海淀区中关村南大街2号院,0,9,二环至三环,商务办公区
164,依威能源,如家快捷酒店(北京苏州桥人民大学店),社会公用,北京市海淀区北三环西路甲49号,0,3,三环至四环,商务办公区
165,特来电,北京温泉村委会充电站,社会公用,北京市海淀区温泉镇温泉村民委员会,2,3,五环至六环,公共停车场
166,特来电,中国人民大学明德楼充电站,社会公用,北京市海淀区中关村大街59号中国人民大学明德楼地下车库二层,0,6,三环至四环,教育院校
167,特来电,北京万达嘉华酒店充电站,社会公用,北京市石景山区石景山路甲18号1号楼,4,0,四环至五环,商业区
168,特来电,北京冠京饭店充电站,社会公用,北京市丰台区丰台北路79号冠京写字楼,4,4,三环至四环,商务办公区
169,中石油昆仑网电,北大国际医院,社会公用,昌平区未来生命科学院北大国际医院西北角,10,0,五环至六环,医疗机构
170,星星充电,回龙观村,社会公用,北京市昌平区回龙观镇西二旗北路回龙观村,6,66,五环至六环,公共停车场
171,星星充电,北京市顺义区北石槽社区卫生服务中心,社会公用,北京市顺义区北石槽社区卫生服务中心,1,4,六环外,医疗机构
172,星星充电,云湖度假村,社会公用,北京市密云县密云水库内湖西侧（近云湖森林公园）,1,31,六环外,旅游景点
173,星星充电,南苑医院,社会公用,北京市丰台区南苑公所胡同5号,14,52,四环至五环,医疗机构
174,星星充电,赛特广场,社会公用,朝阳门建外大街赛特广场地下停车位B3层,0,5,二环至三环,商业区
175,星星充电,王府井百货大楼,社会公用,北京市东城区王府井大街255号王府井百货大楼B3停车场,4,36,二环至三环,商业区
176,星星充电,忘归国际商务酒店,社会公用,北京市朝阳区十八里店老君堂甲6号,0,24,四环至五环,酒店宾馆
177,星星充电,且亭山水,社会公用,北京市昌平区朝凤北路8号,2,24,六环外,酒店宾馆
178,星星充电,德胜凯旋（中国设计研究院）站,社会公用,北京市西城区德胜门外大街36号,1,14,二环至三环,科研院所
179,星星充电,长峰假日酒店,社会公用,北京市海淀区永定路66号地下车库B1停车场、地面停车场,1,4,四环至五环,酒店宾馆
180,星星充电,东方梅地亚中心,社会公用,（特惠场地服务费0.4元）北京市朝阳区光华路4号梅地亚中心B座地下二层停车场B2A01-B2A06,1,5,三环至四环,商务办公区
181,星星充电,金贸大厦,社会公用,西城区西直门外大街18号金贸大厦B3层地下车库,10,30,二环至三环,商务办公区
182,中石油昆仑网电,北辰公寓,社会公用,朝阳区北辰汇园公寓B、C座间,3,0,四环至五环,酒店宾馆
183,特来电,北京庄户台村委会充电站,社会公用,北京市房山区108国道附近,1,4,六环外,写字楼办公区
184,特来电,中国科技会堂北京充电站,社会公用,北京市海淀区复兴路3号,2,2,二环至三环,酒店宾馆
185,特来电,首都体育学院地上充电站,社会公用,北京市海淀北三环西路11,6,3,三环至四环,科研院所
186,特来电,北京中传北广文化传媒基地充电站,社会公用,北京市朝阳区杨闸8号院,8,2,五环至六环,科技园区
187,特来电,北京凯盛兴丰国际充电站,社会公用,北京市顺义区天竺镇天柱东路2号,4,14,五环至六环,酒店宾馆
188,依威能源,大屯1号绿隔产业项目,社会公用,清华大学建筑设计研究院有限公司地下车库B3,1,6,四环至五环,商务办公区
189,依威能源,亚奥观典,社会公用,朝阳区慧忠路3号院,0,4,四环至五环,商业区
190,星星充电,上地国际创业园,社会公用,北京市海淀区上地信息路2号国际创业园3号楼,5,9,五环至六环,写字楼办公区
191,星星充电,陆翔家园,社会公用,北京市朝阳区石门村院2号,0,9,四环至五环,酒店宾馆
192,星星充电,门头沟石龙老年护养中心,社会公用,北京市门头沟区石龙北路27号,1,9,六环外,医疗机构
193,聚电科技,北京花园饭店充电站,社会公用,花园东路30号（10号线牡丹园地铁站旁）,2,6,三环至四环,酒店宾馆
194,聚电科技,北京宜家荟聚超级充电站,社会公用,北京西红门欣宁街15号院英特宜家荟聚B2停车场E区,18,37,四环至五环,商业区
195,智充科技,通用国际,社会公用,建外街道通用国际中心通用时代国际公寓B1停车场西南角,0,3,三环至四环,商务办公区
196,星星充电,盈坤世纪,社会公用,北京市丰台区科技园汽车博物馆东路6号院,8,0,四环至五环,写字楼办公区
197,特来电,北京圣莲山景区山庄充电站,社会公用,北京市房山区史家营乡圣莲山景区,1,4,六环外,旅游景点
198,特来电,北京焱聚鹏充电站,社会公用,北京市怀柔区怀北镇西庄村,4,0,六环外,酒店宾馆
199,特来电,北京密云伴你行分店充电站,社会公用,密云西大桥路38号院内,2,10,六环外,写字楼办公区
200,畅的智能,贞观国际,社会公用,经海路7号,1,9,五环至六环,工业园区/厂区
201,富电易充,东方广场,社会公用,"北京东城东方广场p2,p3停车场",6,0,二环至三环,商业区
202,特来电,北京北京人遗址充电站,社会公用,北京市房山区周口店大街1号,2,8,六环外,旅游景点
