序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型
1876,特斯拉上海,北京学清嘉创大厦,社会公用,学清路银泉路交叉口东南地下B2-B区021~037入口：银泉路,6,0,四环至五环,商务办公区
1877,特斯拉上海,北京世园璞燊酒店,社会公用,百康路1-66号(务必从世园公园7号门进入）,2,0,六环外,酒店宾馆
1878,特斯拉上海,北京顺义特斯拉直营钣喷中心,社会公用,林河大街18号tesla钣喷中心院内地上车位,4,0,六环外,车企4S店
1879,特斯拉上海,北京市永新铂勒,社会公用,亦庄经济技术开发区-经海三路11号地上停车位（入口：经海三路）,2,0,五环至六环,车企4S店
1880,特斯拉上海,北京智慧谷悦界,社会公用,永润路18号院智慧谷悦界地下停车场B2层B2-248车位旁,2,0,五环至六环,大型商业购物中心
1881,特斯拉上海,一渡假日酒店,社会公用,十渡风景区一渡青青小镇一渡假日酒店楼后停车场,10,0,六环外,酒店宾馆
1882,特斯拉上海,北京旧宫爱琴海购物公园,社会公用,久敬庄路（大红门锦苑-A区东侧约250米）地下B2_M区,20,0,四环至五环,大型商业购物中心
1883,特斯拉上海,北京鸿坤广场,社会公用,西红门欣旺北大街8号地下B2B区立柱号85,6,0,四环至五环,大型商业购物中心
1884,特斯拉上海,北京国海广场,社会公用,复兴路17号-地上车位4号楼公寓旁,12,0,二环至三环,商务办公区
1885,特斯拉上海,四惠桥东南角,社会公用,建国路70号四惠桥东南角地上停车场,6,0,四环至五环,车企4S店
1886,特斯拉上海,北京启迪香山,社会公用,香山南路105号院地下B3充电车位区域,6,0,五环至六环,大型商业购物中心
1887,特斯拉上海,北京斯普瑞斯奥特莱斯,社会公用,金盏乡森林公园东1号地上停车场B7区,12,0,五环至六环,大型商业购物中心
1888,特斯拉上海,北京华腾新天地,社会公用,东四环中路195号华腾新天地南侧地上停车场,10,0,三环至四环,大型商业购物中心
1889,特斯拉上海,北京大兴区金地威新国际中心,社会公用,春和路52号院金地威新国际中心北区地下停车场北2区,8,0,五环至六环,商务办公区
1890,特斯拉上海,北京居然之家八角店,社会公用,阜石路168号，地上停车场北侧/入口处右转,8,0,五环至六环,大型商业购物中心
1891,特斯拉上海,北京市张仪村丰仪汽车园,社会公用,张仪村路23号院甲5号北京寰宇标特特斯拉授权钣喷中心,6,0,四环至五环,车企4S店
1892,特斯拉上海,八达岭滑雪场,社会公用,八达岭镇八达岭滑雪场,4,0,六环外,旅游景点
1893,特斯拉上海,北京盈科中心,社会公用,工人体育场北路甲2号地下B2层,16,0,二环至三环,商务办公区
1894,特斯拉上海,北京大兴国际机场,社会公用,大兴国际机场P1停车楼1F10区495-502车位,8,0,六环外,机场
1895,特斯拉上海,北京颐堤港,社会公用,酒仙桥路18号地下P1_B区,20,0,四环至五环,大型商业购物中心
1896,特斯拉上海,北京丽泽天街,社会公用,丽泽路300号（4号地库入口）地下B3层J区,8,0,二环至三环,大型商业购物中心
1897,特斯拉上海,姚家园特斯拉中心,社会公用,姚家园路东口甲1号东方基业汽车城7号，入口：容盛路,4,0,四环至五环,车企4S店
1898,特斯拉上海,北京北广大厦,社会公用,黄寺大街甲23号院北广大厦南侧地上停车场,4,0,二环至三环,商务办公区
1899,特斯拉上海,北京通厦康达广场,社会公用,朝阳北路56号通厦康达广场地上停车场,6,0,五环至六环,大型商业购物中心
1900,特斯拉上海,北京碧桂园九华山庄,社会公用,顺沙路75号九华山庄16区九华山庄国际会展中心大酒店东侧,8,0,六环外,酒店宾馆
1901,特斯拉上海,北京千禧商业街,社会公用,靛厂路11号千禧购物中心停车场D区,4,0,三环至四环,大型商业购物中心
1902,特斯拉上海,丽枫酒店北京首都机场国展店,社会公用,S321顺沙路丽枫酒店,6,0,六环外,酒店宾馆
1903,特斯拉上海,北京天博中心,社会公用,南焦路龙湖天街地下停车场B2层E区203车位,8,0,五环至六环,商务办公区
1904,特斯拉上海,北京房山太阳圣火广场,社会公用,京良路太阳圣火广场,10,0,五环至六环,大型商业购物中心
1905,特斯拉上海,北京红星美凯龙,社会公用,来广营西路59号（北苑东路与北苑南街交叉口）,12,0,四环至五环,大型商业购物中心
1906,特斯拉上海,北京北苑华贸天地,社会公用,清河营中街7号院华贸城东区地下停车场B3A区112-118,4,0,五环至六环,大型商业购物中心
1907,特斯拉上海,北京长楹龙湖天街,社会公用,常通路1号院1号楼长楹天街购物中心B2层G区,12,0,五环至六环,大型商业购物中心
1908,特斯拉上海,龙湖北京大兴天街,社会公用,永兴路龙湖天街地下停车场B2层E5区,12,0,六环外,大型商业购物中心
1909,特斯拉上海,北京房山龙湖天街,社会公用,拱辰北大街龙湖天街地下停车场B2层C区,8,0,五环至六环,大型商业购物中心
1910,特斯拉上海,北京长安天街,社会公用,新城大街北京长安天街地下停车场B3-K区,8,0,六环外,大型商业购物中心
1911,特斯拉上海,北京住总万科广场,社会公用,忠凉路1号住总万科广场B2层B20069-B2075,6,0,五环至六环,大型商业购物中心
1912,特斯拉上海,北京合景摩方购物中心,社会公用,崇文门外大街1号合景摩方购物中心B3层62-70,6,0,二环内,大型商业购物中心
1913,特斯拉上海,北京网信大厦,社会公用,霄云路28号网信大厦地下停车场B1层（入口：霄云路）,6,0,三环至四环,商务办公区
1914,特斯拉上海,北京领展购物广场·京通,社会公用,九棵树西路76号罗斯福B2层B2层B1区B-059车位,6,0,五环至六环,大型商业购物中心
1915,特斯拉上海,北京欧陆广场,社会公用,天竺镇裕祥路99号欧陆广场地上停车位,6,0,五环至六环,大型商业购物中心
1916,特斯拉上海,大兴国超钧恒,社会公用,清源西路1号院,4,0,五环至六环,车企4S店
1917,特斯拉上海,北京中关村资本大厦,社会公用,学院南路62号地上，入口进入后绕至大厦南侧,6,0,二环至三环,商务办公区
1918,特斯拉上海,北京来福士中心,社会公用,东直门南大街来福士中心地下停车场B3层C区,10,0,二环内,大型商业购物中心
1919,特斯拉上海,北京龙湖星悦荟,社会公用,颐和园路208号龙湖星悦荟地下停车场B1/08-19车位,8,0,四环至五环,大型商业购物中心
1920,特斯拉上海,北京君太百货,社会公用,西单北大街133号君太百货B2层B08-B16,6,0,二环内,大型商业购物中心
1921,特斯拉上海,北京金地中心,社会公用,建国路91号B2层B区B2-053车位,8,0,三环至四环,大型商业购物中心
1922,特斯拉上海,北京梦秀欢乐广场,社会公用,望京西路41号地下停车场B2层B-058车位,8,0,四环至五环,大型商业购物中心
1923,特斯拉上海,北京亚洲金融大厦,社会公用,科荟南路与天辰东路交汇处东北角B2层P3区/入口：科荟南路,10,0,四环至五环,商务办公区
1924,特斯拉上海,北京罗红摄影艺术馆,社会公用,天竺竺林路杨林收费站出口罗红摄影艺术馆,4,0,五环至六环,旅游景点
1925,特斯拉上海,北京华贸中心（地下）,社会公用,建国路77号华贸购物中心地下B3层B3482车位,10,0,三环至四环,大型商业购物中心
1926,特斯拉上海,北京市金融街购物中心,社会公用,金城坊街2号楼金融街购物中心B3层F3区655-662,6,0,二环内,大型商业购物中心
1927,特斯拉上海,北京三间房音乐文化广场,社会公用,朝阳北路财经路252号,10,0,五环至六环,其他
1928,特斯拉上海,北京亦庄嘉德长实科技园,社会公用,亦庄隆庆街18号院安快创业谷,12,0,五环至六环,商务办公区
1929,特斯拉上海,北京市海润大厦,社会公用,海淀南路36号美华海润大厦地上停车场（入口：海淀南路-西北1门）,50,0,三环至四环,商务办公区
1930,特斯拉上海,北京卷石天地大厦,社会公用,望京西路甲50号卷石天地大厦地面停车场,12,0,四环至五环,商务办公区
1931,特斯拉上海,北京市新荟城购物中心,社会公用,望京东园一区120号楼新荟城地上停车场,10,0,四环至五环,大型商业购物中心
1932,特斯拉上海,北京市密云华润万象汇,社会公用,滨河路178号华润万象汇B1层C区（2通道C061车位）,6,0,六环外,大型商业购物中心
1933,特斯拉上海,北京市蓝色港湾,社会公用,朝阳公园路6号蓝色港湾购物中心地下二层停车场E8区,6,0,三环至四环,大型商业购物中心
1934,特斯拉上海,北京清河万象汇,社会公用,清河中街68号五彩城购物中心B2层东区G0628-G0631,6,0,五环至六环,大型商业购物中心
1935,特斯拉上海,北京市东方广场,社会公用,东长安街1号院东方广场P3停车场W3区,6,0,二环内,大型商业购物中心
1936,特斯拉上海,北京市唐拉雅秀酒店,社会公用,复兴门外大街19号唐拉雅秀酒店B3停车场F12-F13,6,0,二环至三环,酒店宾馆
1937,特斯拉上海,北京市宝隆大厦,社会公用,南三环西路万柳桥甲3号,44,0,二环至三环,商务办公区
1938,特斯拉上海,南四环中路特斯拉中心,社会公用,南四环中路20号,8,0,四环至五环,车企4S店
1939,特斯拉上海,北京市万开中心,社会公用,万丰路316号地面停车场,6,0,三环至四环,商务办公区
1940,宇充新能源,北京朝阳顺峰充电站,社会公用,北京市朝阳区北四环东路2号顺峰顺景店地面停车场,12,0,三环至四环,商业区
1941,宇充新能源,北京丰台华夏幸福创新中心充电站,社会公用,北京市丰台区汽车博物馆西路8号院华夏幸福创新中心地下B3停车场,16,0,四环至五环,商务办公区
1942,特瓦特,中基大厦超级充电站,社会公用,北京市西城区茶源路与茶马南街交叉口东100m（中基大厦西北角）,20,0,二环内,大型商业购物中心
1943,特斯拉上海,北京中关村领展,社会公用,丹棱街甲1号地下停车场b2层d区3020-3022车位（入口：丹棱街）,2,0,三环至四环,大型商业购物中心
1944,蓝谷极狐,极狐-王四营大柳树超充站,社会公用,朝阳区王四营路1号,4,0,四环至五环,其他
1945,汐歌儿,（公共站）汐歌儿密云山水大厦优易充小站,社会公用,北京市密云区鼓楼东大街3号,4,0,六环外,产业园区
1946,民益科技,（内部站）北京市顺义区动物星世界充电站,社会公用,北京市顺义区高丽营镇西马各庄村建军街丁91号动物星世界停车场西侧,12,0,六环外,旅游景点
1947,碧辟北京,BP快速充电站（北京顺义国翼中心）,社会公用,北京市顺义区李桥镇临空经济核心区汇海南路1号院国翼中心地下1层,28,0,五环至六环,产业园区
1948,鲸悦能源,北京燕山东风社区充电站,社会公用,东风街道羊耳峪西区住宅小区,0,11,六环外,公共停车场
1949,鲸悦能源,碧桂园中心小学北侧停车场,社会公用,碧桂园中心小学北侧停车场,4,6,五环至六环,公共停车场
1950,鲸悦能源,北京房山区中央城惠民停车场充电站,社会公用,长政北街FCC中央城,24,0,五环至六环,公共停车场
1951,山海间科技,北京朝阳金长安大厦充电站,社会公用,北京市朝阳区东四环中路82号,25,0,四环至五环,商业区
1952,云和桥,云和桥龙湖冠寓生命科学园充电站,社会公用,北京市昌平区龙城花园北二区26号龙湖冠寓（生命科学园店）院内,14,0,五环至六环,公共停车场
1953,天开快充,北京市昌平区新悦家园南区充电站,社会公用,新悦家园南区停车场,0,8,六环外,公共停车场
1954,天开快充,北京市丰台区大成郡充电站,社会公用,大成路大成南里三区四区,0,12,四环至五环,公共停车场
1955,利嘉新能源,北京市延庆高铁站充电站,社会公用,延庆区高铁站东侧停车场,10,0,六环外,火车站
